InstructionDecimal,CyclesTaken,ClockStop,NextBlipCycles
1498,945,0,0
1500,3,0,2
1501,940,0,0
1502,939,0,0
1504,3,0,2
1505,3,0,2
1506,939,0,0
1508,3,0,2
1509,3,0,2
1510,941,0,0
1512,943,0,0
1513,3,0,2
1514,943,0,0
1516,941,0,0
1517,3,0,2
1518,942,0,0
1520,3,0,0
1521,942,0,0
1522,938,0,0
1524,3,0,2
1525,945,0,0
1526,938,0,0
1528,3,0,2
1529,938,0,0
1530,945,0,0
1532,3,0,2
1533,942,0,0
1534,941,0,0
1536,3,0,2
1537,3,0,2
1538,3,0,2
1540,3,0,2
1541,3,0,2
1542,3,0,0
1544,938,0,0
1545,3,0,2
1546,3,0,0
1548,942,0,0
1549,3,0,2
1550,3,0,0
1552,3,0,2
1553,3,0,0
1554,3,0,0
1556,3,0,2
1557,3,0,0
1558,3,0,0
1560,3,0,2
1561,3,0,0
1562,3,0,0
1564,3,0,2
1565,3,0,0
1566,3,0,0
1568,3,0,2
1569,3,0,2
1570,3,0,0
1572,3,0,2
1573,3,0,2
1574,3,0,0
1576,942,0,0
1577,3,0,2
1578,3,0,0
1580,938,0,0
1581,3,0,2
1582,3,0,0
1584,3,0,2
1585,3,0,0
1586,3,0,0
1588,3,0,2
1589,3,0,0
1590,3,0,0
1592,3,0,2
1593,3,0,0
1594,3,0,0
1596,3,0,2
1597,3,0,0
1598,3,0,0
1600,3,0,2
1601,3,0,2
1602,3,0,0
1604,3,0,2
1605,3,0,2
1606,3,0,0
1608,939,0,0
1609,3,0,2
1610,3,0,0
1612,940,0,0
1613,3,0,2
1614,3,0,0
1616,3,0,0
1617,3,0,0
1618,3,0,0
1620,3,0,2
1621,3,0,0
1622,3,0,0
1624,3,0,2
1625,3,0,0
1626,3,0,0
1628,3,0,2
1629,3,0,0
1630,3,0,0
1632,3,0,2
1633,3,0,2
1634,3,0,0
1636,3,0,2
1637,3,0,2
1638,3,0,0
1640,941,0,0
1641,3,0,2
1642,3,0,0
1644,940,0,0
1645,3,0,2
1646,3,0,0
1648,3,0,0
1649,3,0,0
1650,3,0,0
1652,3,0,2
1653,3,0,0
1654,3,0,0
1656,3,0,2
1657,3,0,0
1658,3,0,0
1660,3,0,2
1661,3,0,0
1662,3,0,0
1664,3,0,2
1665,3,0,2
1666,3,0,2
1668,3,0,2
1669,3,0,2
1670,3,0,2
1672,942,0,0
1673,3,0,2
1674,3,0,2
1676,938,0,0
1677,3,0,2
1678,3,0,2
1680,3,0,2
1681,3,0,2
1682,3,0,2
1684,3,0,2
1685,3,0,2
1686,3,0,2
1688,3,0,2
1689,3,0,2
1690,3,0,2
1692,3,0,2
1693,3,0,2
1694,3,0,2
1696,3,0,2
1697,3,0,2
1698,3,0,2
1700,3,0,2
1701,3,0,2
1702,3,0,2
1704,938,0,0
1705,3,0,2
1706,3,0,2
1708,943,0,0
1709,3,0,2
1710,3,0,2
1712,3,0,2
1713,3,0,2
1714,3,0,2
1716,3,0,2
1717,3,0,2
1718,3,0,2
1720,3,0,2
1721,3,0,2
1722,3,0,2
1724,3,0,2
1725,3,0,2
1726,3,0,2
1728,3,0,2
1729,3,0,2
1730,3,0,2
1732,3,0,2
1733,3,0,2
1734,3,0,2
1736,938,0,0
1737,3,0,2
1738,3,0,2
1740,944,0,0
1741,3,0,2
1742,3,0,2
1744,3,0,0
1745,3,0,2
1746,3,0,2
1748,3,0,2
1749,3,0,2
1750,3,0,2
1752,3,0,2
1753,3,0,2
1754,3,0,2
1756,3,0,2
1757,3,0,2
1758,3,0,2
1760,3,0,2
1761,3,0,2
1762,3,0,2
1764,3,0,2
1765,3,0,2
1766,3,0,2
1768,939,0,0
1769,3,0,2
1770,3,0,2
1772,945,0,0
1773,3,0,2
1774,3,0,2
1776,3,0,0
1777,3,0,2
1778,3,0,2
1780,3,0,2
1781,3,0,2
1782,3,0,2
1784,3,0,2
1785,3,0,2
1786,3,0,2
1788,3,0,2
1789,3,0,2
1790,3,0,2
1792,3,0,2
1793,3,0,2
1794,3,0,2
1796,3,0,2
1797,3,0,2
1798,3,0,2
1800,941,0,0
1801,3,0,2
1802,3,0,2
1804,944,0,0
1805,3,0,2
1806,3,0,2
1808,3,0,2
1809,3,0,2
1810,3,0,2
1812,3,0,2
1813,3,0,2
1814,3,0,2
1816,3,0,2
1817,3,0,2
1818,3,0,2
1820,3,0,2
1821,3,0,2
1822,3,0,2
1824,3,0,2
1825,3,0,2
1826,3,0,2
